因子,方向
['new_on_balance_volume'],['false']
['new_on_balance_volume'],['true']
['fund_size_neutral'],['false']
['fund_size_neutral'],['true']
['eri_high_5'],['false']
['eri_high_5'],['true']
['eri_high_10'],['false']
['eri_high_10'],['true']
['eri_high_20'],['false']
['eri_high_20'],['true']
['eri_low_5'],['false']
['eri_low_5'],['true']
['eri_low_10'],['false']
['eri_low_10'],['true']
['eri_low_20'],['false']
['eri_low_20'],['true']
['emv_5'],['false']
['emv_5'],['true']
['emv_10'],['false']
['emv_10'],['true']
['emv_20'],['false']
['emv_20'],['true']
['amplitude_5'],['false']
['amplitude_5'],['true']
['amplitude_10'],['false']
['amplitude_10'],['true']
['amplitude_20'],['false']
['amplitude_20'],['true']
['turnover_rate_5'],['false']
['turnover_rate_5'],['true']
['turnover_rate_10'],['false']
['turnover_rate_10'],['true']
['turnover_rate_20'],['false']
['turnover_rate_20'],['true']
['k_indicator_5'],['false']
['k_indicator_5'],['true']
['k_indicator_10'],['false']
['k_indicator_10'],['true']
['k_indicator_20'],['false']
['k_indicator_20'],['true']
['d_indicator_5'],['false']
['d_indicator_5'],['true']
['d_indicator_10'],['false']
['d_indicator_10'],['true']
['d_indicator_20'],['false']
['d_indicator_20'],['true']
['j_indicator_5'],['false']
['j_indicator_5'],['true']
['j_indicator_10'],['false']
['j_indicator_10'],['true']
['j_indicator_20'],['false']
['j_indicator_20'],['true']
['investment_income_coverage'],['false']
['investment_income_coverage'],['true']
['interest_income_coverage'],['false']
['interest_income_coverage'],['true']
['profit_margin'],['false']
['profit_margin'],['true']
['peg'],['false']
['peg'],['true']
['eps'],['false']
['eps'],['true']
['expense_coverage_ratio'],['false']
['expense_coverage_ratio'],['true']
['roa'],['false']
['roa'],['true']
['debt_to_equity_ratio'],['false']
['debt_to_equity_ratio'],['true']
['roe'],['false']
['roe'],['true']
['pb_ratio'],['false']
['pb_ratio'],['true']
['pe_ratio'],['false']
['pe_ratio'],['true']
['成交额_std_5'],['false']
['成交额_std_5'],['true']
['Stochastic_K_20'],['false']
['Stochastic_K_20'],['true']
['Volume_Ratio_20'],['false']
['Volume_Ratio_20'],['true']
['MeanAmplitude_5'],['false']
['MeanAmplitude_5'],['true']
['成交额_mean_5'],['false']
['成交额_mean_5'],['true']
['On_balance_value'],['false']
['On_balance_value'],['true']
['Popularity_Index_20'],['false']
['Popularity_Index_20'],['true']
['K线长度_max_20'],['false']
['K线长度_max_20'],['true']
['成交额_std_10'],['false']
['成交额_std_10'],['true']
['bais_5'],['false']
['bais_5'],['true']
['bais_10'],['false']
['bais_10'],['true']
['bais_20'],['false']
['bais_20'],['true']
['涨跌幅_10'],['false']
['涨跌幅_10'],['true']
['涨跌幅_20'],['false']
['涨跌幅_20'],['true']
['量价相关系数_10'],['false']
['量价相关系数_10'],['true']
['alpha150'],['false']
['alpha150'],['true']
['涨跌幅_std_5'],['false']
['涨跌幅_std_5'],['true']
['涨跌幅_std_10'],['false']
['涨跌幅_std_10'],['true']
['涨跌幅_std_20'],['false']
['涨跌幅_std_20'],['true']
['涨跌幅_mean_10'],['false']
['涨跌幅_mean_10'],['true']
['涨跌幅_mean_20'],['false']
['涨跌幅_mean_20'],['true']
['close'],['false']
['close'],['true']
