因子,方向,净值
"emv_10,amplitude_20,k_indicator_20,alpha150","false,false,false,true",5.645692348480224609375000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_std_20,new_on_balance_volume,j_indicator_20,alpha150","false,true,false,true",5.679806709289550781250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"new_on_balance_volume,d_indicator_20,alpha150,涨跌幅_std_20","true,false,true,false",5.563083171844482421875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_5,bais_20,alpha150,涨跌幅_std_20","true,false,true,false",6.092225074768066406250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_low_20,j_indicator_20,alpha150,涨跌幅_std_10","false,false,true,false",5.559168815612792968750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_low_20,j_indicator_20,alpha150,涨跌幅_std_20","false,false,true,false",5.442735671997070312500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"peg,Stochastic_K_20,alpha150,涨跌幅_std_10","false,false,true,false",5.637843608856201171875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"amplitude_10,k_indicator_20,涨跌幅_20,alpha150","false,false,false,true",5.669781208038330078125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_5,k_indicator_20,pb_ratio,alpha150","false,false,false,true",5.446856975555419921875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_high_10,k_indicator_5,alpha150,涨跌幅_mean_10","false,true,true,false",5.599864482879638671875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,涨跌幅_std_20,涨跌幅_mean_10,Popularity_Index_20","true,false,false,true",6.023758411407470703125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Stochastic_K_20,alpha150,涨跌幅_std_10,profit_margin","false,true,false,true",5.530705451965332031250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"j_indicator_5,bais_20,alpha150,涨跌幅_std_20","true,false,true,false",5.552867889404296875000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"d_indicator_20,peg,alpha150,amplitude_10","false,false,true,false",5.593908786773681640625000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_low_20,Volume_Ratio_20,alpha150,涨跌幅_std_20","false,false,true,false",5.484874725341796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_20,alpha150,amplitude_10,Stochastic_K_20","false,true,false,false",5.584220409393310546875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Popularity_Index_20,涨跌幅_10,alpha150,涨跌幅_std_20","true,false,true,false",5.637156963348388671875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_high_5,j_indicator_5,j_indicator_20,alpha150","false,true,false,true",6.131197929382324218750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_5,j_indicator_20,alpha150,涨跌幅_std_20","true,false,true,false",5.791914463043212890625000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Stochastic_K_20,Popularity_Index_20,alpha150,涨跌幅_std_20","false,true,true,false",5.954486370086669921875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_10,amplitude_20,d_indicator_20,alpha150","false,false,false,true",6.040187835693359375000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_high_10,pb_ratio,涨跌幅_20,alpha150","false,false,false,true",5.644492149353027343750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Volume_Ratio_20,bais_20,alpha150,涨跌幅_std_10","false,false,true,false",5.540923595428466796875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_std_20,k_indicator_20,成交额_std_5,alpha150","false,false,true,true",5.563769817352294921875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"d_indicator_5,interest_income_coverage,alpha150,涨跌幅_std_20","false,true,true,false",5.460344791412353515625000000000000000000000000000000000000000000000000000000000000000000000000000000000
"new_on_balance_volume,k_indicator_20,alpha150,涨跌幅_std_20","true,false,true,false",5.536663532257080078125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_std_20,j_indicator_5,j_indicator_20,alpha150","false,true,false,true",5.733333110809326171875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,emv_20,d_indicator_20,expense_coverage_ratio","true,false,false,true",5.665837764739990234375000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,涨跌幅_std_20,eri_low_10,profit_margin","true,false,false,true",5.630330085754394531250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_20,profit_margin,alpha150,涨跌幅_std_10","false,true,true,false",5.601016044616699218750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"bais_20,alpha150,涨跌幅_std_20,Popularity_Index_20","false,true,false,true",5.506244659423828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,amplitude_20,d_indicator_20,j_indicator_20","true,false,false,false",5.495839595794677734375000000000000000000000000000000000000000000000000000000000000000000000000000000000
"peg,Stochastic_K_20,alpha150,涨跌幅_std_20","false,false,true,false",5.558577537536621093750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_std_20,j_indicator_20,成交额_std_5,alpha150","false,false,true,true",5.549123764038085937500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,涨跌幅_std_5,j_indicator_20,Volume_Ratio_20","true,false,false,false",5.659175395965576171875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,amplitude_10,k_indicator_5,j_indicator_20","true,false,true,false",5.514301776885986328125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,涨跌幅_std_20,eri_high_10,涨跌幅_10","true,false,false,false",5.742765903472900390625000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_20,j_indicator_20,alpha150,涨跌幅_std_20","false,false,true,false",5.470160484313964843750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_low_10,Volume_Ratio_20,alpha150,涨跌幅_std_20","false,false,true,false",5.665787220001220703125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"d_indicator_20,profit_margin,alpha150,涨跌幅_std_20","false,true,true,false",5.990101337432861328125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,涨跌幅_std_10,profit_margin,涨跌幅_10","true,false,true,false",5.739623069763183593750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Volume_Ratio_20,涨跌幅_10,alpha150,涨跌幅_std_20","false,false,true,false",5.756136894226074218750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"成交额_std_10,alpha150,涨跌幅_std_20,k_indicator_20","true,true,false,false",5.556260108947753906250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_20,alpha150,涨跌幅_std_10,涨跌幅_std_20","false,true,false,false",5.801234722137451171875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"pb_ratio,涨跌幅_20,alpha150,涨跌幅_std_10","false,false,true,false",5.646240711212158203125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"d_indicator_10,成交额_std_5,alpha150,涨跌幅_std_20","false,true,true,false",5.756167411804199218750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"d_indicator_20,j_indicator_20,alpha150,涨跌幅_std_10","false,false,true,false",5.765748977661132812500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,涨跌幅_std_10,j_indicator_20,Volume_Ratio_20","true,false,false,false",5.725620269775390625000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"amplitude_20,Volume_Ratio_20,alpha150,涨跌幅_mean_10","false,false,true,false",5.716506004333496093750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"new_on_balance_volume,Stochastic_K_20,alpha150,涨跌幅_std_20","true,false,true,false",5.715381145477294921875000000000000000000000000000000000000000000000000000000000000000000000000000000000
